Date,RTT
08/08/2022,61
09/08/2022,51
10/08/2022,55
11/08/2022,49
12/08/2022,68
13/08/2022,60
14/08/2022,59
15/08/2022,52
16/08/2022,53
17/08/2022,53
18/08/2022,67
19/08/2022,52
20/08/2022,58
