Date,Min_RTT,Connection_Loss_Rate,MeanThroughput,Test_Count
21/08/2023,157.653749,0.06425364,20.05915147,3769
22/08/2023,163.859645,0.066835078,19.17043604,4056
23/08/2023,158.3675809,0.056223312,21.13254028,4145
24/08/2023,154.8747758,0.058959847,23.85402338,3132
25/08/2023,150.5590114,0.057987675,23.99901843,2907
26/08/2023,147.1504562,0.054826819,25.58862287,2738
27/08/2023,146.9117505,0.0552137,24.52057666,2613
28/08/2023,141.4238785,0.05830272,24.99034579,2717
29/08/2023,138.0655444,0.058222611,25.54066654,2790
30/08/2023,147.748629,0.05524494,23.80239152,2741
31/08/2023,147.9717769,0.062305148,23.59604854,2815
01/09/2023,153.5138496,0.058239276,22.36171345,2926
02/09/2023,146.831411,0.057748128,25.37585669,2557
03/09/2023,135.7273595,0.055907982,26.87261836,2370
04/09/2023,139.6111773,0.05479375,24.25177801,2696
05/09/2023,144.9663263,0.060759822,24.74923744,2504
06/09/2023,142.4854656,0.0624976,25.87946292,2599
07/09/2023,137.5491852,0.061816997,24.78458628,2727
08/09/2023,142.7242216,0.066740348,23.57613328,2653
09/09/2023,139.9063738,0.061110237,24.64216721,2386
10/09/2023,137.7660133,0.063079587,25.4713781,2486
11/09/2023,134.9846152,0.060177602,27.352766,2552
12/09/2023,118.0128856,0.070088215,25.86629998,3428
13/09/2023,100.1688234,0.06872948,25.61425809,5073
14/09/2023,105.2793095,0.067262836,25.66089939,4242
15/09/2023,113.7925338,0.067477665,26.40504486,3582
16/09/2023,125.1833226,0.061202954,26.50457734,2985
17/09/2023,133.712014,0.065122088,26.26878586,2788
18/09/2023,135.3023845,0.065869066,23.49514392,2775
19/09/2023,134.3724323,0.066139614,24.06293983,2801
20/09/2023,132.8826416,0.062671544,24.94294176,2854
21/09/2023,142.6813652,0.07158449,23.84065857,2667
22/09/2023,139.5020568,0.068754261,23.5527419,2905
23/09/2023,142.2562245,0.069442748,22.56307642,2642
24/09/2023,136.8209674,0.069437071,24.59484857,2635
25/09/2023,134.9000335,0.069328665,24.21720899,2653
26/09/2023,132.6166376,0.06299432,24.62717569,2798
27/09/2023,132.7961496,0.067590829,22.88109446,3075
28/09/2023,129.4368333,0.072596235,23.99044151,3360
29/09/2023,131.7103495,0.067571977,23.79054286,2838
30/09/2023,121.2024766,0.0738235,24.67588439,3055
01/10/2023,125.7124399,0.064232561,28.0491057,2630
02/10/2023,131.6154409,0.065869637,24.97712863,2792
03/10/2023,150.1169462,0.070011799,24.59060058,3139
04/10/2023,137.3908871,0.065912172,24.40971675,2789
05/10/2023,133.5445626,0.06373854,29.27465991,2755
06/10/2023,137.2427536,0.064212793,24.32801271,2711
07/10/2023,135.9136159,0.066545046,23.60407633,2549
08/10/2023,131.8988781,0.064730822,26.5858535,2543
09/10/2023,127.1315312,0.068640002,26.56522324,2547
10/10/2023,124.6366638,0.065248479,25.21714753,2766
11/10/2023,137.0225148,0.061867189,25.28778252,2797
12/10/2023,135.4324832,0.067423612,23.04051965,2833
13/10/2023,146.4289289,0.075517621,24.20531264,2770
14/10/2023,140.7562301,0.068521447,26.24398841,2925
15/10/2023,129.414966,0.070086647,26.34094629,2737
16/10/2023,136.273931,0.077374181,23.53368113,2723
17/10/2023,140.3589958,0.071399654,23.37396154,2855
18/10/2023,132.2915586,0.066162519,24.66776303,2741
19/10/2023,137.5068477,0.066403427,25.30188021,2738
20/10/2023,148.363357,0.074780786,25.00355576,2930
21/10/2023,141.2562937,0.067834264,23.46452675,2802
22/10/2023,134.4046146,0.068964432,27.60631426,2435
23/10/2023,132.1256453,0.070221879,25.92411276,2616
24/10/2023,126.8242884,0.067251186,29.61191635,3086
25/10/2023,139.0786544,0.069093049,26.90092697,2740
26/10/2023,146.2521328,0.074645422,23.52890333,2983
27/10/2023,146.8232186,0.072776714,26.22388188,2736
28/10/2023,153.835764,0.073658652,24.98316889,2509
29/10/2023,138.7962541,0.069100377,25.05678757,2487
30/10/2023,138.389195,0.072612572,25.86954326,2600
31/10/2023,146.3841963,0.071139782,24.87185851,2639
01/11/2023,141.147803,0.069063338,26.05708802,2574
02/11/2023,143.1679407,0.070542222,27.85906946,2833
03/11/2023,142.6139037,0.068218963,24.81160588,2680
04/11/2023,142.1257841,0.064366952,27.87747824,2566
05/11/2023,143.7315663,0.067668494,25.09956785,2580
06/11/2023,140.5005687,0.072584413,25.4610533,2571
07/11/2023,145.4788152,0.068190916,24.83107263,2922
08/11/2023,142.9564098,0.073965729,26.59620162,2972
09/11/2023,140.1109651,0.066036697,24.58287623,2926
10/11/2023,146.1058991,0.0691657,27.84853605,2715
11/11/2023,64.84763465,0.038177475,46.03506854,1166
12/11/2023,49.93538739,0.046260707,49.71493489,1332
13/11/2023,48.19293914,0.041018171,44.15212586,1331
14/11/2023,55.62285216,0.038879691,46.01044369,1576
15/11/2023,76.13615048,0.036989137,39.90072313,1575
16/11/2023,100.6998302,0.038071288,38.01453475,1625
17/11/2023,98.73068297,0.037525339,33.53240714,1779
18/11/2023,96.64034262,0.036589467,36.03900779,1687
19/11/2023,102.2009045,0.036033106,34.26325153,1623
20/11/2023,110.6381903,0.041473061,33.1560003,1808
21/11/2023,124.9030921,0.03672386,31.11933859,1945
22/11/2023,113.8479293,0.031563966,34.52535472,1569
23/11/2023,82.61074982,0.032470895,43.7284082,1387
24/11/2023,69.8363485,0.032123347,42.78320958,1234
25/11/2023,78.71872275,0.029858751,47.96675364,1169
26/11/2023,67.00359755,0.032582612,45.59028239,1225
27/11/2023,58.57603815,0.033194414,44.94322873,1363
28/11/2023,66.43085219,0.031652059,46.88851156,1327
29/11/2023,75.95879332,0.032728133,40.42474741,1411
30/11/2023,77.24614159,0.032411308,42.12899873,1462
01/12/2023,68.8303126,0.028477103,44.54711365,1270
02/12/2023,79.25583881,0.032488998,40.49876427,1340
03/12/2023,68.63241417,0.032457759,39.27365273,1369
04/12/2023,72.67099654,0.030459204,46.7171667,1446
05/12/2023,67.90686672,0.026983819,48.40526683,1163
06/12/2023,81.45085503,0.039166994,42.39498749,1283
07/12/2023,69.27403777,0.041918826,45.25707532,1882
08/12/2023,53.82586101,0.038199508,39.65156858,1626
09/12/2023,75.45252118,0.031076087,41.28598669,1561
10/12/2023,55.57073715,0.049224661,39.2382853,2432
11/12/2023,65.83430205,0.038179752,41.27249566,1663
12/12/2023,62.64661013,0.041625965,35.96737006,1916
13/12/2023,62.88464474,0.04574678,37.70686174,1855
14/12/2023,72.95046645,0.042564338,36.1691286,1834
15/12/2023,79.49421511,0.033364113,38.17370369,1735
16/12/2023,69.85895856,0.041060038,45.88352757,1472
17/12/2023,72.53230532,0.034325656,41.57441224,1654
18/12/2023,63.190006,0.040816941,42.29457733,1334
19/12/2023,64.73820044,0.036218069,43.74612162,1352
20/12/2023,60.35826404,0.037535569,48.13273059,1246
21/12/2023,74.72837045,0.030631208,39.9524318,1428
